CGPA,Leisure Time in Hour,Future Plan,Target
3.5,2,1,1
3.48,3.5,2,0
2.9,6,0,0
3.33,4,4,1
3.72,1.5,2,1
3.43,2.5,1,1
3.27,4.5,4,0
3,5,3,1
3.42,2.5,1,0
3.64,1.5,2,1
3.36,2,1,1
3.3,3,3,1
3.71,1,2,1
2.75,6,0,0
3.4,3,2,0
2.69,7,0,0
3.23,3.5,4,1
3,5,1,0
3.62,2,2,1
2.88,7,4,0
3.38,2.5,1,1
3.25,3,1,1
2.93,5,1,0
3.69,2,2,1
2.75,6.5,1,0
2.987,6,1,0
2.5,8,3,1
3.53,2,2,1
3.1,4,1,1
3.2,3,1,1
2.9,6,1,0
3.03,6,2,0
3.05,6,4,0
2.7,7,1,0
3.24,4,2,0
3.059,5,1,1
3.28,2,1,1
3.5,1.5,1,1
3.45,1.5,2,1
3.48,1.5,1,1
3.22,2.5,4,0
3.93,0.5,2,1
3.77,1,2,1
3.26,3,3,1
3.53,2,1,1
3.31,3,3,1
3.032,4,3,0
3,5,3,0
2.75,6,0,0
2.85,6.5,0,0
3.58,3,4,1
3.01,4,4,0
3.46,3,3,1
3.4,2.5,1,1
2.7,7,1,0
2.84,6,1,0
3.45,2,1,0
3.8,1,2,1
3.246,2,3,1
3.62,1.5,3,1
2.9,7,1,0
3.83,1,2,1
3.64,2,1,1
3.46,3,1,1
2.85,6,3,0
3.31,3,1,1
3.1,4,1,0
3.15,4,3,0
3.43,3,3,1
3.5,2,1,1
3.21,3.5,3,1
3.64,2,1,1
3.5,2,1,1
3.21,3,1,0
3.64,2,1,1
3.5,2.5,1,1
3.4,2.5,1,0
3.416,2.5,1,0
3.68,2,1,1
3.15,3,3,1
3.01,3.5,2,0
3.24,3,3,1
3.39,2.5,2,0
3.57,1.5,1,1
3,4,1,0
2.47,6,0,0
3.3,3.3,1,1
2.97,6,0,0
3.44,3,1,1
3.4,2.5,1,1
2.8,7,0,0
3.15,3,4,0
2.34,9,0,0
3.18,3,1,1
3.246,3,3,1
3.845,1,2,1
2.5,8,0,0
2.7,7,0,0
2.2,9,0,0
